AI,AREA_MN,CONTAG,DEM,ERF,BUA proportion,NDVI,PD,Population density,Road network density,Soil permeability,Green space ratio,Drainage network density
0.969158666,0.962546141,0.067921631,0.022422173,0.340510603,0.817796027,0.253237021,0.972830413,0.89402965,0.938766794,0.253325701,0.519052803,0.140760507
0.289187895,0.150625932,0.923671505,0.051893545,0.612755106,0.885658978,0.420643368,0.27815861,0.917120756,0.947895166,0.271336174,0.501633097,0.331331999
0.873453604,0.83937252,0.222593966,0.04478643,0.216549441,0.763421758,0.565283081,0.877097832,0.915259619,0.909558182,0.244034819,0.601796407,0.267956415
0.855974812,0.802593405,0.257717185,0.821994156,0.259554141,0.984429492,0.445997925,0.8443142,0.970451641,0.982324054,0.272545013,0.436581383,0.117411608
0.393024448,0.355191563,0.766769033,0.013164616,0.326262568,0.937004882,0.531011058,0.455590027,0.921853605,0.948127431,0.027455628,0.443930321,0.241271959
0.763889852,0.724445265,0.351598058,0.117233791,0.203284876,0.814257989,0.382968181,0.765188675,0.904488382,0.952481463,0.271521921,0.448285248,0.148098732
0.284915062,0.1828695,0.900912058,0.103239455,0.3544969,0.958889801,0.280012421,0.292654029,0.957350817,0.950725884,0.251415816,0.662765378,0.195686013
0.132433553,0.083470445,0.941223048,0.118377432,0.504907549,0.824158989,0.35085581,0.137224196,0.89500561,0.903630676,0.089803115,0.572945019,0.354013787
0.258586345,0.230452487,0.83225594,0.075518669,0.613704583,0.946080106,0.422581252,0.288741365,0.974361737,0.987914135,0.041375456,0.577572128,0.12786302
0.851319122,0.759906241,0.323277107,0.076899279,0.101304938,0.927214845,0.38121547,0.836905542,0.987900071,0.992347459,0.191419545,0.573217202,0.097843006
0.64882702,0.514879026,0.655189182,0.187910322,0.609793724,0.969137336,0.385868315,0.670267949,0.929371376,0.971844351,0.25884702,0.534295046,0.145430287
0.533415104,0.468533406,0.657174334,0.000830642,0.631853981,0.652247398,0.519078339,0.572748082,0.868004272,0.677973268,0.309998079,0.545454545,0.361352012
0.732415745,0.664210279,0.418636074,0.054840761,0.659694046,0.908079372,0.263103981,0.727930953,0.952916842,0.946659502,0.261654375,0.52340773,0.079386258
0.342545647,0.238372153,0.86505632,0.053282588,0.501068205,0.705590509,0.349226373,0.372522957,0.922659846,0.848400758,0.243884265,0.720195972,0.43139871
0.334629378,0.199542732,0.917681497,0.111156165,0.410831384,0.978542952,0.25304432,0.335534347,0.971014579,0.970871582,0.183950323,0.677463255,0.295530354
0.828171159,0.769853868,0.318481597,0.00732665,0.304454267,0.581017019,0.778128385,0.826070289,0.832899598,0.762870538,0.429611413,0.389765923,0.482988659
0.880804645,0.838840861,0.212885666,0.319703475,0.293222436,0.940517194,0.534656798,0.874115246,0.93994798,0.951883784,0.270433815,0.428960261,0.143428953
